StaffID	Surname	First Name	PPS Number	Standard Hours	Hourly Rate	Overtime Rate	TaxCredit	StandardBand
123456	Doe	John	1234567AF	37	20	30	70	700
123457	Morris	Alan	4674115H	35	23.11	30.043	70	700
123458	Hinton	Harold	7656452B	8	28.18	36.634	70	700
123459	Smith	Hector	9129649N	8	22.08	28.704	70	700
123460	Wilbanks	Margaret	1047147V	8	13.69	17.797	70	700
123461	Kirkwood	Michael	4292322T	8	26.02	33.826	70	700
123462	Keepers	Stanley	8701073M	8	26.69	34.697	70	700
123463	Botelho	Ben	7610116L	8	22.2	28.86	70	700
123464	Reul	Wanda	1296621V	8	25.01	32.513	70	700
123465	Mccarter	Jeffrey	4393052M	8	25.85	33.605	70	700
123466	Hudson	Larry	4128148Z	8	28.54	37.102	70	700
123467	Vera	Charles	1026190D	8	22.57	29.341	70	700
123468	Pedersen	Allan	3146848F	8	28.18	36.634	70	700
123469	Keck	Paul	2263942I	8	23.08	30.004	70	700
123470	Bouton	Melanie	1176897P	8	24.82	32.266	70	700
123471	Grimaud	Tim	7733760B	8	22.68	29.484	70	700
123472	Arias	Delbert	1630150O	8	24.28	31.564	70	700
123473	Schmid	Deborah	8366158O	8	25.75	33.475	70	700
123474	Brown	Ronnie	5086233Q	8	22.06	28.678	70	700
123475	Ellis	Linda	2862938Z	8	16.5	21.45	70	700
123476	Mcfarland	Lisha	1106831O	8	22.48	29.224	70	700
123477	Castaneda	Jaime	8352459W	8	28.91	37.583	70	700
123478	Cash	Samantha	6692495D	8	17.54	22.802	70	700
123479	Garcia	Thomas	4880345V	8	22.28	28.964	70	700
123480	Heinlen	Lyn	1946840R	8	21.21	27.573	70	700
123481	Fox	Melva	2592093A	8	14.94	19.422	70	700
123482	Huckleberry	Barbara	7421910D	8	23.98	31.174	70	700
123483	Nunez	Dawn	9055798C	8	17.06	22.178	70	700
123484	Hudspeth	Cody	2559930E	8	27.84	36.192	70	700
123485	Gilyard	Donald	4053787N	8	16.65	21.645	70	700
123486	Egan	Josephine	9832651H	8	24.94	32.422	70	700
123487	Houston	Rodney	6847606I	8	18.47	24.011	70	700
123488	Johnson	Stephen	3914868I	8	22.58	29.354	70	700
123489	Hamilton	Brittney	1091116U	8	27.92	36.296	70	700
123490	Roberts	Cindy	8262599F	8	16.79	21.827	70	700
123491	Beitel	Johnny	8350190Z	8	25.02	32.526	70	700
123492	Campbell	Gretchen	5364659G	8	21.13	27.469	70	700
123493	Richardson	Charles	4001385M	8	21.25	27.625	70	700
123494	Moore	John	8276599U	8	17.02	22.126	70	700
123495	Overturf	Anthony	3447759G	8	26.19	34.047	70	700
123496	Landingham	Diane	5827766U	8	21.5	27.95	70	700
123497	Estrada	Leonard	6974191L	8	12.87	16.731	70	700
123498	Mccutcheon	Ann	7610542S	8	29.8	38.74	70	700
123499	Wilson	Wendell	3128506C	8	20.68	26.884	70	700
123500	Nehring	Rigoberto	1823072J	8	24.34	31.642	70	700
123501	Boyd	Marjorie	7034202J	8	13.78	17.914	70	700
123502	Bove	Ashleigh	7534932E	8	16.26	21.138	70	700
123503	Ayers	Thomas	3240018F	8	29.85	38.805	70	700
123504	Eddy	Norman	8419260H	8	15.2	19.76	70	700
123505	Harris	Gloria	3307074L	8	24.68	32.084	70	700
123506	Nez	Theresa	5194579W	8	20.68	26.884	70	700
123507	Copes	Donald	1311559A	8	22.16	28.808	70	700
123508	Quale	Yu	8976669I	8	25.69	33.397	70	700
123509	Ramos	James	6155426V	8	12.94	16.822	70	700
123510	Owen	Brandon	6656278I	8	28.19	36.647	70	700
123511	Sparks	Jessica	4750210Q	8	21.62	28.106	70	700
123512	Baxter	Nancy	8415691I	8	21.88	28.444	70	700
123513	Thomas	Maria	5517647M	8	17.77	23.101	70	700
123514	Feliciano	James	4020982H	8	26.93	35.009	70	700
123515	Link	Herminia	5238526K	8	25.29	32.877	70	700
123516	Oneil	Rodney	1466861J	8	18.39	23.907	70	700
123517	Tacadina	Mildred	4432052U	8	28.61	37.193	70	700
123518	Kirwan	Jasmine	9514415O	8	25.26	32.838	70	700
123519	Davis	Peggy	8912771Y	8	24.37	31.681	70	700
123520	Andre	Clyde	4026190F	8	13.69	17.797	70	700
123521	Rodregez	Douglas	2360730B	8	17.16	22.308	70	700
123522	Skinner	Bruce	9157274N	8	20.59	26.767	70	700
123523	Simon	Jared	3013384M	8	20.08	26.104	70	700
123524	Carvalho	Robert	8578093E	8	25.17	32.721	70	700
123525	Walbridge	Rose	3733882P	8	14.51	18.863	70	700
123526	Craine	Connie	6423707Z	8	14.96	19.448	70	700
123527	Kellam	Martha	8116248Q	8	22.92	29.796	70	700
123528	Hyde	Helen	2362805U	8	22.61	29.393	70	700
123529	Miller	Javier	4236867T	8	26.37	34.281	70	700
123530	Coles	Elizabeth	9794241A	8	29.16	37.908	70	700
123531	Washington	Michael	1332004C	8	13.1	17.03	70	700
123532	Storey	Michael	8390864K	8	22.6	29.38	70	700
123533	Hanley	Riley	7717520B	8	21.66	28.158	70	700
123534	Howard	Jon	9805062J	8	16.31	21.203	70	700
123535	Mcintosh	Linda	3644305F	8	12.9	16.77	70	700
123536	Byrne	Angelina	9090697T	8	13.92	18.096	70	700
123537	Schuler	Dorothy	6035011S	8	21.05	27.365	70	700
123538	Stoddard	William	6292952I	8	26.39	34.307	70	700
123539	Kama	Jenny	7531473R	8	15.93	20.709	70	700
123540	Beasley	Bruce	3624339N	8	16.97	22.061	70	700
123541	Gordon	Donald	8101678H	8	14.6	18.98	70	700
123542	Wakham	Michael	4717406N	8	29.77	38.701	70	700
123543	Webb	Lillie	2724764A	8	26.05	33.865	70	700
123544	Bessick	Thomas	3748952L	8	22.81	29.653	70	700
123545	Pedersen	Ashleigh	7624261D	8	16.99	22.087	70	700
123546	Ackley	Eddie	8692145T	8	14.45	18.785	70	700
123547	Terry	James	8428642W	8	19.71	25.623	70	700
123548	Dudley	Maxine	1166653J	8	28.26	36.738	70	700
123549	Langley	Charles	5394897D	8	29.32	38.116	70	700
123550	Robinson	Jesse	7124202Y	8	26.2	34.06	70	700
123551	Robinson	John	8810264B	8	15.44	20.072	70	700
123552	Heim	Carolyn	3468577H	8	12.49	16.237	70	700
123553	Arons	Joyce	5743155W	8	17.75	23.075	70	700
123554	Perry	Glenn	8683151Y	8	14.87	19.331	70	700
123555	Luera	Roy	1183263A	8	27.72	36.036	70	700
123556	Davenport	Karen	4805846U	8	15.16	19.708	70	700
123557	Mason	Francis	2402657M	8	15.34	19.942	70	700
123558	Robinson	Brian	1693280E	8	20.6	26.78	70	700
123559	Rozek	Kevin	5146637L	8	18.61	24.193	70	700
123560	Knox	Daniel	6399900A	8	28.92	37.596	70	700
123561	Carson	Vickie	2478807X	8	17.57	22.841	70	700
123562	Whitt	Victoria	1450094D	8	12.74	16.562	70	700
123563	Phillips	Duane	7611302J	8	13.95	18.135	70	700
123564	Masin	Josephine	5814448I	8	21.38	27.794	70	700
123565	Jacob	Justin	8777950Y	8	27.2	35.36	70	700
123566	Ortiz	Wendy	7920191Z	8	25.87	33.631	70	700
123567	Stump	Robert	7728361P	8	24.57	31.941	70	700
123568	Reff	Vera	4577136K	8	23.08	30.004	70	700
123569	Perez	Steven	3015941X	8	18.75	24.375	70	700
123570	Similien	Samuel	1080732Z	8	21.92	28.496	70	700
123571	Moore	Dorian	1150374D	8	26.7	34.71	70	700
123572	Gonzalez	Victor	8127050V	8	21.74	28.262	70	700
123573	Beckley	Susan	3396182M	8	16.72	21.736	70	700
123574	Stewart	Alfred	8243645R	8	14.34	18.642	70	700
123575	Tram	David	7482153I	8	19.77	25.701	70	700
123576	Watt	Rebecca	9529045I	8	15.07	19.591	70	700
123577	Gibson	Shannon	2014022M	8	23.85	31.005	70	700
123578	Sikes	James	8838634M	8	19.25	25.025	70	700
123579	Sweet	Bobby	6960057T	8	21.1	27.43	70	700
123580	Griffin	Gloria	6371667E	8	15.38	19.994	70	700
123581	Garske	Lyle	8090490H	8	21.81	28.353	70	700
123582	Sergi	David	6866898I	8	18.36	23.868	70	700
123583	Topolosky	Elizabeth	1589751F	8	12.08	15.704	70	700
123584	Larmore	Andrew	3131244E	8	13.07	16.991	70	700
123585	Demeter	Angela	6545420S	8	17.05	22.165	70	700
123586	Bradley	Emma	3297159S	8	23.95	31.135	70	700
123587	Martinez	Kristine	5623875S	8	18.88	24.544	70	700
123588	Long	Jerry	5724643B	8	13.47	17.511	70	700
123589	Fountain	Matthew	7087478O	8	20.88	27.144	70	700
123590	Galvan	Gabriela	4177002Q	8	12.13	15.769	70	700
123591	Sherman	Ryan	7174407G	8	25.71	33.423	70	700
123592	Austin	Kelly	2214857R	8	28.26	36.738	70	700
123593	Hammonds	Sandra	2128626R	8	16.84	21.892	70	700
123594	Baxter	Kyle	7438838P	8	20.08	26.104	70	700
123595	Owen	Carla	3148741I	8	26.61	34.593	70	700
123596	Baugh	Maria	2829880M	8	17.77	23.101	70	700
123597	Lopez	Dale	3581811B	8	26.71	34.723	70	700
123598	Hamrick	Glenn	8094723V	8	24.53	31.889	70	700
123599	Edwards	Annie	1975393M	8	16.6	21.58	70	700
123600	Tatum	Nicole	9950515R	8	12.13	15.769	70	700
123601	Matthews	Audrea	4223880Z	8	22.47	29.211	70	700
123602	Posey	Leonard	7867881V	8	12.31	16.003	70	700
123603	Stinger	Charles	9212945T	8	12.11	15.743	70	700
123604	Hoffman	Karla	6670299N	8	18.13	23.569	70	700
123605	Martin	Frank	7543261N	8	25.96	33.748	70	700
123606	Smith	Jordan	1425691T	8	22.21	28.873	70	700
123607	Rathke	Lane	9125696C	8	24.7	32.11	70	700
123608	Freehan	Robert	2426689Q	8	23.89	31.057	70	700
123609	Smith	Ray	2112623W	8	14.22	18.486	70	700
123610	Sudbeck	Lawrence	7208356K	8	13.8	17.94	70	700
123611	Waite	Raymond	8869601S	8	18.09	23.517	70	700
123612	Butler	Sammy	5179652S	8	20.54	26.702	70	700
